county,month,covid,retail
CUSTER,10/1/2020,553.8,#N/A
CUSTER,11/1/2020,6681.2,#N/A
CUSTER,12/1/2020,11108.9,#N/A
CUSTER,1/1/2021,2075.6,#N/A
CUSTER,2/1/2021,652.6,#N/A
CUSTER,3/1/2021,1008.4,#N/A
CUSTER,4/1/2021,2431.3,#N/A
CUSTER,5/1/2021,2115,#N/A
CUSTER,6/1/2021,2114.9,#N/A
DELTA,3/1/2020,38.4,#N/A
DELTA,4/1/2020,888.4,#N/A
DELTA,5/1/2020,593.5,#N/A
DELTA,6/1/2020,368.5,#N/A
DELTA,7/1/2020,429.8,#N/A
DELTA,8/1/2020,1171.3,#N/A
DELTA,9/1/2020,804.8,#N/A
DELTA,10/1/2020,429.4,#N/A
DELTA,11/1/2020,8417.5,#N/A
DELTA,12/1/2020,19135.3,#N/A
DELTA,1/1/2021,14464.5,#N/A
DELTA,2/1/2021,3550.9,#N/A
DELTA,3/1/2021,1546.4,#N/A
DELTA,4/1/2021,2733.2,#N/A
DELTA,5/1/2021,2405.6,#N/A
DELTA,6/1/2021,3358.6,#N/A
DENVER,3/1/2020,354.3,4435578
DENVER,4/1/2020,2088.1,4224911
DENVER,5/1/2020,2533,4955611
DENVER,6/1/2020,1354.7,5993926
DENVER,7/1/2020,2300.5,6966799
DENVER,8/1/2020,1664.3,7664982
DENVER,9/1/2020,1931.4,7010515
DENVER,10/1/2020,5531.7,6357298
DENVER,11/1/2020,17336.7,6467813
DENVER,12/1/2020,11129.6,5433372
DENVER,1/1/2021,6881.1,5836153
DENVER,2/1/2021,4041,6062244
DENVER,3/1/2021,4338.4,5307692
DENVER,4/1/2021,5658.4,6418398
DENVER,5/1/2021,2907.3,6493055
DENVER,6/1/2021,813.8,6199005
DOLORES,3/1/2020,0,#N/A
DOLORES,4/1/2020,0,#N/A
DOLORES,5/1/2020,0,#N/A
DOLORES,6/1/2020,0,#N/A
DOLORES,7/1/2020,343.7,#N/A
DOLORES,8/1/2020,343.7,#N/A
DOLORES,9/1/2020,343.7,#N/A
DOLORES,10/1/2020,343.7,#N/A
DOLORES,11/1/2020,4074.6,#N/A
DOLORES,12/1/2020,12420.5,#N/A
DOLORES,1/1/2021,4271.7,#N/A
DOLORES,2/1/2021,2160.4,#N/A
DOLORES,3/1/2021,98.2,#N/A
